Ordinary Time,9,3,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH09WeekOrdTTues2015.wav,Tuesday of the 9th Week in Ordinary Time
Ordinary Time,9,5,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH09WeekOrdTThurs2015.wav,Thursday of the 9th Week in Ordinary Time
Ordinary Time,9,6,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH09WeekOrdTFri2015.wav,Friday of the 9th Week in Ordinary Time
Ordinary Time,10,4,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH10WeekOrdTWed2015.wav,Wednesday of the 10th Week in Ordinary Time
Ordinary Time,10,5,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH10WeekOrdTThurs2015.wav,Thursday of the 10th Week in Ordinary Time
Ordinary Time,10,7,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH10WeekOrdTSat2015.wav,Saturday of the 10th Week in Ordinary Time
Ordinary Time,11,3,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH11WeekOrdTTues2015.wav,Tuesday of the 11th Week in Ordinary Time
Ordinary Time,11,4,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH11WeekOrdTWed2015.wav,Wednesday of the 11th Week in Ordinary Time
Ordinary Time,11,5,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH11WeekOrdTThurs2015.wav,Thursday of the 11th Week in Ordinary Time
Ordinary Time,11,6,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH11WeekOrdTFri2015.wav,Friday of the 11th Week in Ordinary Time
Ordinary Time,12,5,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH12WeekOrdTThurs2015.wav,Thursday of the 12th Week in Ordinary Time
Ordinary Time,12,6,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH12WeekOrdTFri2015.wav,Friday of the 12th Week in Ordinary Time
Ordinary Time,12,7,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH12WeekOrdTSat2015.wav,Saturday of the 12th Week in Ordinary Time
Ordinary Time,13,3,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH13WeekOrdTTues2015.wav,Tuesday of the 13th Week in Ordinary Time
Ordinary Time,13,4,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH13WeekOrdTWed2015.wav,Wednesday of the 13th Week in Ordinary Time
Ordinary Time,13,5,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH13WeekOrdTThurs2015.wav,Thursday of the 13th Week in Ordinary Time
Ordinary Time,14,3,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH14WeekOrdTTues2015.wav,Tuesday of the 14th Week in Ordinary Time
Ordinary Time,14,4,/google_drive/catholic/tedesche/uploads/daily_homilies/audio,DH14WeekOrdTWed2015.wav,Wednesday of the 14th Week in Ordinary Time
